profile,gender,birthday,favorites_anime,link
DesolatePsyche,Male,"Oct 2, 1994","['28891', '5114']",https://myanimelist.net/profile/DesolatePsyche
baekbeans,Female,"Nov 10, 2000","['23273', '28891']",https://myanimelist.net/profile/baekbeans
skrn,Female,"Nov 20, 2002","['34599']",https://myanimelist.net/profile/skrn
edgewalker00,Male,Sep 5,"['5680', '849', '2904', '3588', '37349']",https://myanimelist.net/profile/edgewalker00
aManOfCulture99,Male,"Oct 30, 1999","['4181', '7791', '9617', '5680', '2167', '4382', '849', '235', '35180', '31646']",https://myanimelist.net/profile/aManOfCulture99
eneri,,,"['5114', '4898', '2904', '1575', '1482']",https://myanimelist.net/profile/eneri
Waffle_Empress,,"May 29, 1996","['338', '322', '440', '199', '28223', '12815', '2800', '18679', '387', '8129']",https://myanimelist.net/profile/Waffle_Empress
NIGGER_BONER,Male,"Jan 1, 1985","['11061', '30', '6594', '28701', '10087', '6746', '918', '1535', '24415', '5081']",https://myanimelist.net/profile/NIGGER_BONER
jchang,Male,"Jul 29, 1992","['846', '2904', '5114', '2924', '72']",https://myanimelist.net/profile/jchang
shadowsplat,,,[],https://myanimelist.net/profile/shadowsplat
angelsreview,Female,"May 26, 1989","['534', '71', '7724', '861', '5060', '853']",https://myanimelist.net/profile/angelsreview
CalebTheMenace,Male,"Jun 29, 2004","['4181', '11617', '1735', '35849', '28999', '29803', '31964', '36098', '5081', '8525']",https://myanimelist.net/profile/CalebTheMenace
Kiethol,,,[],https://myanimelist.net/profile/Kiethol
Eanki,Male,"Dec 3, 1995","['27989', '28851', '17265', '15227', '35557', '24', '5420', '4224', '23289', '31859']",https://myanimelist.net/profile/Eanki
NekoKyupi,Male,"Jan 8, 2001","['34599', '4181', '9756', '32949', '30654', '28851']",https://myanimelist.net/profile/NekoKyupi
12sed,,,"['30', '16201', '22135']",https://myanimelist.net/profile/12sed
OVERPOWERED99,Male,"Nov 16, 2000","['5680', '15051', '31953', '31964', '16498', '6213', '21647', '3455', '12189', '18679']",https://myanimelist.net/profile/OVERPOWERED99
